season,player_name,team_name,matches,innings,runs,batting_avg,strike_rate,fours,sixes,fifties,hundreds,wickets,economy,bowling_avg
2008,A Symonds,Deccan Chargers,10,9,255,28.66,117.02,28,5,4,0,8,7.98,28.38
2009,A Symonds,Mumbai Indians,8,7,308,40.86,147.45,21,10,4,0,6,7.92,39.4
2010,A Symonds,Mumbai Indians,10,9,367,23.51,123.75,21,13,6,0,8,8.04,36.73
2011,A Symonds,Mumbai Indians,7,6,182,24.86,123.64,20,6,1,0,6,7.19,39.66
2023,A Taide,Punjab Kings,3,3,96,19.55,141.96,14,2,1,0,0,25.3,33.57
2024,A Taide,Sunrisers Hyderabad,2,2,36,33.33,138.78,12,2,0,0,0,23.02,26.63
2025,A Taide,Sunrisers Hyderabad,4,4,121,16.31,138.96,13,3,1,0,0,24.91,27.28
2022,A Tomar,Kolkata Knight Riders,1,1,2,4.99,44.79,1,0,0,0,0,9.09,35.21
2010,A Uniyal,Rajasthan Royals,3,3,5,3.36,62.54,0,0,0,0,3,10.25,26.68
2016,A Zampa,Rajasthan Royals,2,1,1,3.54,58.42,0,0,0,0,5,8.71,21.43
2017,A Zampa,Rising Pune Supergiant,1,1,2,2.53,65.4,0,0,0,0,3,8.27,20.88
2018,A Zampa,Rising Pune Supergiants,3,1,1,3.85,55.04,0,0,0,0,4,8.97,19.99
2019,A Zampa,Royal Challengers Bangalore,2,1,1,4.07,55.33,0,0,0,0,3,8.1,20.47
2020/21,A Zampa,Sunrisers Hyderabad,2,1,1,3.23,56.36,0,0,0,0,4,8.83,25.16
2021,A Zampa,Sunrisers Hyderabad,2,1,2,2.87,53.34,0,0,0,0,1,7.74,22.22
2022,A Zampa,Sunrisers Hyderabad,2,1,2,2.03,64.24,0,0,0,0,3,9.21,22.74
2023,A Zampa,Sunrisers Hyderabad,3,1,2,2.77,66.26,0,0,0,0,3,8.9,23.41
2024,A Zampa,Sunrisers Hyderabad,3,1,2,3.61,57.01,0,0,0,0,4,7.73,24.08
2025,A Zampa,Sunrisers Hyderabad,1,1,2,3.37,54.77,0,0,0,0,2,8.79,17.54
2009,AA Bilakhia,Deccan Chargers,5,5,41,11.02,70.12,3,0,0,0,0,9.19,27.52
2010,AA Bilakhia,Deccan Chargers,5,5,55,14.97,81.43,1,0,1,0,0,8.78,24.54
2011,AA Chavan,Rajasthan Royals,3,1,4,6.44,101.8,1,0,0,0,4,7.76,41.56
2012,AA Chavan,Rajasthan Royals,6,1,5,8.11,97.41,1,0,0,0,2,8.08,36.99
2013,AA Chavan,Rajasthan Royals,5,1,4,4.39,119.61,1,0,0,0,2,8.33,38.78
2010,AA Jhunjhunwala,Deccan Chargers,8,6,64,14.41,90.59,8,1,0,0,1,9.61,110.75
2011,AA Jhunjhunwala,Pune Warriors,5,4,112,20.47,91.66,8,1,1,0,0,9.78,133.58
2012,AA Jhunjhunwala,Rajasthan Royals,5,4,38,10.65,97.69,7,2,0,0,0,8.52,144.79
2011,AA Kazi,Royal Challengers Bangalore,1,1,0,16.14,126.72,0,0,0,0,0,10.83,25.71
2024,AA Kulkarni,Lucknow Super Giants,2,2,12,5.14,109.74,2,0,0,0,0,8.4,28.25
2008,AA Noffke,Royal Challengers Bangalore,1,1,14,7.05,93.66,1,0,0,0,0,9.61,44.33
2008,AB Agarkar,Delhi Daredevils,4,2,33,11.95,108.76,3,1,0,0,8,9.37,31.91
2009,AB Agarkar,Kolkata Knight Riders,7,4,36,20.43,117.36,3,0,0,0,2,7.97,34.76
2010,AB Agarkar,Kolkata Knight Riders,6,3,48,20.21,130.89,1,1,0,0,8,9.62,42.6
2011,AB Agarkar,Kolkata Knight Riders,9,5,44,13.24,111.59,2,1,1,0,2,8.57,32.55
2012,AB Agarkar,Kolkata Knight Riders,8,4,42,22.92,128.71,1,1,0,0,3,8.8,35.95
2013,AB Agarkar,Kolkata Knight Riders,10,5,46,18.12,129.95,1,0,0,0,8,9.52,45.21
2010,AB Barath,Kings XI Punjab,2,2,34,24.74,97.06,5,1,0,0,0,8.38,26.37
2008,AB Dinda,Delhi Daredevils,4,1,3,2.08,53.68,0,0,0,0,6,7.98,34.75
2009,AB Dinda,Kolkata Knight Riders,7,2,1,3.11,46.13,0,0,0,0,11,8.54,25.36
2010,AB Dinda,Pune Warriors,4,1,3,3.53,61.63,0,0,0,0,12,7.57,29.91
2011,AB Dinda,Rising Pune Supergiant,10,2,2,3.07,58.09,0,0,0,0,10,7.6,35.54
2012,AB Dinda,Rising Pune Supergiants,9,2,1,3.29,53.02,0,0,0,0,8,7.39,29.8
2013,AB Dinda,Royal Challengers Bangalore,10,2,2,2.14,47.9,0,0,0,0,5,8.53,32.04
2014,AB Dinda,Royal Challengers Bangalore,10,2,3,1.95,59.93,0,0,0,0,8,7.62,25.48
2015,AB Dinda,Royal Challengers Bangalore,4,1,2,3.36,52.22,0,0,0,0,7,8.53,35.81
2016,AB Dinda,Royal Challengers Bangalore,4,1,1,2.32,61.36,0,0,0,0,9,7.79,34.79
2017,AB Dinda,Royal Challengers Bangalore,6,1,2,2.82,53.04,0,0,0,0,5,8.19,28.05
2009,AB McDonald,Delhi Daredevils,1,1,20,30.7,131.96,1,1,0,0,2,8.59,21.24
2010,AB McDonald,Royal Challengers Bangalore,2,2,28,15.57,140.28,2,0,0,0,3,8.94,20.81
2011,AB McDonald,Royal Challengers Bangalore,2,2,24,29.74,124.24,2,1,0,0,1,7.78,22.94
2012,AB McDonald,Royal Challengers Bangalore,2,2,20,21.96,127.79,2,1,0,0,1,8.3,23.56
2013,AB McDonald,Royal Challengers Bangalore,2,2,38,20.46,139.82,2,1,0,0,1,9.2,20.78
2008,AB de Villiers,Delhi Daredevils,8,7,341,39.99,154.52,15,19,3,1,0,8.68,26.48
2009,AB de Villiers,Royal Challengers Bangalore,13,12,370,46.71,140.71,18,13,3,0,0,8.15,27.22
2010,AB de Villiers,Royal Challengers Bangalore,16,15,270,28.04,168.67,21,11,3,0,0,9.32,35.87
2011,AB de Villiers,Royal Challengers Bangalore,11,10,566,51.9,140.94,44,20,0,0,0,9.18,27.54
2012,AB de Villiers,Royal Challengers Bangalore,10,9,261,24.32,158.84,36,21,4,0,0,9.25,31.0
2013,AB de Villiers,Royal Challengers Bangalore,15,14,239,37.86,143.68,26,17,3,0,0,8.72,34.3
2014,AB de Villiers,Royal Challengers Bangalore,13,12,367,38.41,166.04,20,14,2,0,0,8.62,35.32
2015,AB de Villiers,Royal Challengers Bangalore,16,15,231,28.38,148.33,36,11,3,1,0,8.75,28.83
2016,AB de Villiers,Royal Challengers Bangalore,12,11,196,24.25,166.72,23,26,2,0,0,7.87,33.24
2017,AB de Villiers,Royal Challengers Bangalore,16,15,387,49.81,167.73,41,24,2,0,0,7.89,33.12
2018,AB de Villiers,Royal Challengers Bangalore,14,13,266,41.09,129.89,41,16,0,0,0,8.58,25.23
2019,AB de Villiers,Royal Challengers Bangalore,12,11,304,32.93,170.87,41,18,5,0,0,8.82,32.58
2020/21,AB de Villiers,Royal Challengers Bangalore,10,9,181,34.42,145.33,19,17,1,0,0,7.79,24.52
2021,AB de Villiers,Royal Challengers Bangalore,16,15,452,43.66,141.99,26,14,7,0,0,8.11,29.99
2011,AC Blizzard,Mumbai Indians,5,5,94,20.95,119.19,16,1,0,0,0,8.41,33.56
2012,AC Blizzard,Mumbai Indians,4,4,34,14.71,118.43,10,1,0,0,0,8.25,29.93
2008,AC Gilchrist,Deccan Chargers,9,9,529,36.4,133.54,41,11,1,0,0,0,0
2009,AC Gilchrist,Kings XI Punjab,16,16,474,21.11,121.25,34,15,1,0,0,0,0
2010,AC Gilchrist,Kings XI Punjab,11,11,489,33.29,123.42,57,14,2,0,0,0,0
2011,AC Gilchrist,Kings XI Punjab,8,8,426,19.45,148.07,24,17,3,0,0,0,0
2012,AC Gilchrist,Kings XI Punjab,9,9,196,21.67,118.15,39,10,2,0,0,0,0
2013,AC Gilchrist,Kings XI Punjab,16,16,322,30.37,118.18,44,10,1,0,0,0,0
2011,AC Thomas,Pune Warriors,11,3,9,11.69,97.62,1,0,0,0,8,7.43,25.84
2012,AC Thomas,Pune Warriors,11,3,13,9.2,91.24,1,0,0,0,6,8.23,34.52
2010,AC Voges,Rajasthan Royals,10,8,160,40.92,109.66,9,3,2,0,0,8.31,27.24
2018,AD Hales,Sunrisers Hyderabad,4,4,78,18.98,107.02,19,4,0,0,0,7.97,26.42
2008,AD Mascarenhas,Kings XI Punjab,1,1,21,8.66,87.55,1,0,0,0,1,6.66,22.33
2009,AD Mascarenhas,Rajasthan Royals,2,2,11,6.17,106.59,1,0,0,0,2,7.48,18.76
2010,AD Mascarenhas,Rajasthan Royals,2,2,19,5.52,90.99,1,0,0,0,4,6.35,19.67
2011,AD Mascarenhas,Rajasthan Royals,1,1,17,12.23,101.33,1,0,0,0,5,7.08,18.9
2012,AD Mascarenhas,Rajasthan Royals,2,2,20,5.54,107.74,1,0,0,0,4,6.57,22.45
2013,AD Mascarenhas,Rajasthan Royals,1,1,6,10.64,95.49,1,0,0,0,5,7.34,21.69
2009,AD Mathews,Delhi Daredevils,3,3,88,20.61,109.71,7,4,1,0,4,8.12,47.73
2010,AD Mathews,Kolkata Knight Riders,8,7,126,23.13,120.75,6,3,1,0,2,8.03,41.87
2011,AD Mathews,Pune Warriors,3,3,72,22.42,140.17,3,4,1,0,5,7.43,47.59
2012,AD Mathews,Pune Warriors,4,3,42,21.03,128.56,6,3,0,0,4,7.73,45.94
2013,AD Mathews,Pune Warriors,7,6,43,17.38,111.12,4,2,0,0,5,8.01,38.89
2014,AD Mathews,Pune Warriors,4,3,104,16.15,124.19,3,3,2,0,3,8.91,34.29
2015,AD Mathews,Pune Warriors,7,6,108,32.29,115.09,5,2,0,0,2,7.4,44.09
2016,AD Mathews,Pune Warriors,3,3,117,22.44,122.88,3,4,1,0,2,8.82,34.91
2017,AD Mathews,Pune Warriors,4,3,123,23.01,127.25,7,3,2,0,4,8.94,38.95
2016,AD Nath,Gujarat Lions,2,1,29,9.57,82.04,2,1,0,0,0,9.05,32.81
2017,AD Nath,Kings XI Punjab,5,4,22,7.68,99.87,3,1,0,0,0,8.1,32.67
2018,AD Nath,Royal Challengers Bangalore,4,3,25,5.66,98.6,2,0,0,0,0,8.83,33.29
2019,AD Nath,Royal Challengers Bangalore,4,3,35,8.07,88.08,1,0,1,0,0,8.17,33.83
2012,AD Russell,Delhi Daredevils,9,7,264,26.53,198.94,12,17,1,0,7,10.32,22.89
2013,AD Russell,Kolkata Knight Riders,12,10,230,31.23,184.73,8,21,0,1,14,10.28,19.54
2014,AD Russell,Kolkata Knight Riders,6,5,246,30.99,176.51,16,22,1,0,10,9.52,26.12
2015,AD Russell,Kolkata Knight Riders,6,5,270,38.36,166.36,15,20,2,0,12,9.44,27.07
2016,AD Russell,Kolkata Knight Riders,10,8,137,31.78,164.11,7,22,0,1,14,10.29,24.88
2017,AD Russell,Kolkata Knight Riders,13,11,194,33.64,164.63,14,14,2,0,5,9.65,22.62
2018,AD Russell,Kolkata Knight Riders,14,12,173,38.11,168.44,9,12,2,0,12,9.33,21.58
2019,AD Russell,Kolkata Knight Riders,11,9,165,34.11,195.94,8,8,0,0,13,8.86,21.62
2020/21,AD Russell,Kolkata Knight Riders,11,9,199,38.86,177.92,15,20,1,0,3,9.96,27.77
2021,AD Russell,Kolkata Knight Riders,7,6,267,33.31,190.22,8,10,0,0,7,9.05,19.1
2022,AD Russell,Kolkata Knight Riders,6,5,286,19.69,155.46,18,23,1,0,6,8.9,19.34
2023,AD Russell,Kolkata Knight Riders,9,7,186,31.04,159.03,13,11,1,0,8,10.25,24.51
2024,AD Russell,Kolkata Knight Riders,11,9,270,19.56,165.96,7,16,1,0,7,10.45,24.2
2025,AD Russell,Kolkata Knight Riders,10,8,193,34.09,159.35,8,9,2,0,7,10.27,18.89
2016,AF Milne,Chennai Super Kings,1,1,2,6.71,82.92,0,0,0,0,1,10.06,45.52
2017,AF Milne,Mumbai Indians,2,1,4,7.87,69.86,0,0,0,0,1,9.64,40.46
2018,AF Milne,Royal Challengers Bangalore,2,1,2,4.92,69.97,0,0,0,0,1,8.9,43.96
2019,AF Milne,Royal Challengers Bangalore,2,1,2,5.34,81.78,0,0,0,0,2,10.32,47.28
2020/21,AF Milne,Royal Challengers Bangalore,1,1,2,4.44,76.26,0,0,0,0,1,9.12,37.55
2021,AF Milne,Royal Challengers Bangalore,1,1,2,3.75,74.16,0,0,0,0,1,8.93,47.85
2022,AF Milne,Royal Challengers Bangalore,2,1,4,6.59,77.77,0,0,0,0,1,8.9,38.3
2010,AG Murtaza,Mumbai Indians,3,1,3,10.73,65.77,0,0,0,0,1,6.42,38.71
2011,AG Murtaza,Pune Warriors,4,1,1,10.27,72.01,0,0,0,0,2,6.42,34.35
2012,AG Murtaza,Pune Warriors,3,1,1,12.2,71.29,0,0,0,0,1,6.82,41.5
2013,AG Murtaza,Pune Warriors,4,1,1,7.79,78.39,0,0,0,0,1,7.81,39.8
2010,AG Paunikar,Rajasthan Royals,3,3,34,10.09,71.93,2,0,0,0,0,7.74,34.6
2011,AG Paunikar,Rajasthan Royals,3,3,33,8.86,89.51,4,0,0,0,0,8.64,25.44
2010,AJ Finch,Delhi Daredevils,10,10,187,28.58,129.04,13,8,1,1,0,9.3,66.73
2011,AJ Finch,Gujarat Lions,9,9,132,31.95,118.29,9,6,0,0,0,10.0,72.23
2012,AJ Finch,Kings XI Punjab,6,6,158,21.97,140.28,24,7,2,0,0,9.37,62.0
2013,AJ Finch,Kolkata Knight Riders,4,4,241,22.88,126.37,9,6,3,0,0,8.79,64.33
2014,AJ Finch,Mumbai Indians,4,4,153,17.27,113.21,16,6,1,0,0,9.27,60.75
2015,AJ Finch,Pune Warriors,6,6,105,23.11,125.54,9,5,2,0,0,9.23,63.51
2016,AJ Finch,Rajasthan Royals,5,5,118,27.36,128.92,10,4,2,0,0,8.5,60.27
2017,AJ Finch,Royal Challengers Bangalore,7,7,118,32.9,135.87,22,7,1,0,0,9.14,59.49
2018,AJ Finch,Sunrisers Hyderabad,8,8,201,20.92,109.09,20,8,2,0,0,10.1,70.27
2019,AJ Finch,Sunrisers Hyderabad,5,5,128,24.29,145.98,24,8,0,0,0,9.21,54.16
2020/21,AJ Finch,Sunrisers Hyderabad,6,6,156,15.13,142.55,19,5,1,0,0,8.49,54.07
2021,AJ Finch,Sunrisers Hyderabad,9,9,84,31.31,121.88,19,5,1,0,0,9.06,68.23
2022,AJ Finch,Sunrisers Hyderabad,6,6,129,25.55,134.51,13,6,1,0,0,9.98,66.58
2023,AJ Hosein,Chennai Super Kings,1,1,6,17.72,137.48,0,0,0,0,0,10.39,58.34
2024,AJ Hosein,Sunrisers Hyderabad,1,1,3,22.03,162.16,0,0,0,0,0,10.97,69.03
2025,AJ Hosein,Sunrisers Hyderabad,1,1,6,16.42,145.15,0,0,0,0,0,10.4,68.02
2026,AJ Hosein,Sunrisers Hyderabad,1,1,2,12.13,180.51,0,0,0,0,0,10.36,60.56
2019,AJ Turner,Lucknow Super Giants,1,1,3,4.62,78.44,0,0,0,0,0,7.86,29.86
2020/21,AJ Turner,Rajasthan Royals,1,1,6,5.9,85.76,0,0,0,0,0,8.6,35.44
2021,AJ Turner,Rajasthan Royals,1,1,3,3.0,96.84,0,0,0,0,0,8.8,28.63
2022,AJ Turner,Rajasthan Royals,1,1,2,4.55,95.38,0,0,0,0,0,7.89,33.21
2023,AJ Turner,Rajasthan Royals,1,1,6,4.65,77.57,0,0,0,0,0,9.07,25.15
2024,AJ Turner,Rajasthan Royals,1,1,3,4.67,97.58,0,0,0,0,0,9.2,24.32
2017,AJ Tye,Gujarat Lions,6,3,17,9.08,124.07,1,1,0,0,11,9.23,19.14
2018,AJ Tye,Kings XI Punjab,6,3,15,12.85,104.81,1,1,0,0,5,9.41,19.64
2019,AJ Tye,Lucknow Super Giants,7,3,8,10.79,120.12,1,1,0,0,9,8.93,23.45
2020/21,AJ Tye,Rajasthan Royals,6,3,9,11.15,127.6,1,0,0,0,11,9.1,24.45
2021,AJ Tye,Rajasthan Royals,5,2,11,6.9,102.66,1,1,0,0,7,8.39,27.27
2022,AJ Tye,Rajasthan Royals,7,3,11,11.02,117.54,1,1,0,0,9,7.93,20.0
2021,AK Markram,Lucknow Super Giants,10,10,320,23.54,135.34,18,8,2,0,1,8.21,52.12
2022,AK Markram,Punjab Kings,13,13,149,25.6,120.63,24,12,1,0,1,9.06,40.95
2023,AK Markram,Sunrisers Hyderabad,6,6,376,29.93,116.09,15,14,3,0,1,8.92,57.6
2024,AK Markram,Sunrisers Hyderabad,7,7,306,32.52,134.49,24,15,0,0,2,8.28,56.07
2025,AK Markram,Sunrisers Hyderabad,15,15,291,23.04,144.66,25,11,3,0,1,9.2,45.48
2026,AK Markram,Sunrisers Hyderabad,6,6,112,36.73,125.18,17,8,1,0,1,8.92,53.94
2011,AL Menaria,Rajasthan Royals,6,5,195,22.57,108.72,6,3,2,0,2,8.51,39.59
2012,AL Menaria,Rajasthan Royals,11,9,58,14.11,99.38,8,4,0,0,1,7.27,50.64
2013,AL Menaria,Rajasthan Royals,7,6,173,18.08,113.6,12,4,0,0,1,7.2,38.87
2026,AM Ghazanfar,Mumbai Indians,3,1,0,25.83,114.27,0,0,0,0,3,13.1,39.29
2008,AM Nayar,Kings XI Punjab,9,8,79,23.33,128.81,11,3,0,0,2,8.33,37.57
2009,AM Nayar,Mumbai Indians,5,4,96,11.34,117.88,10,3,1,0,0,8.97,32.76
2010,AM Nayar,Pune Warriors,6,5,72,18.17,107.42,9,3,1,0,1,8.62,33.08
2011,AM Nayar,Rajasthan Royals,12,10,152,19.85,100.12,4,2,2,0,1,7.93,41.32
2012,AM Nayar,Rajasthan Royals,12,10,46,17.59,127.14,10,2,0,0,1,8.62,40.56
2013,AM Nayar,Rajasthan Royals,11,9,145,23.16,115.72,8,2,1,0,1,8.81,30.1
2014,AM Nayar,Rajasthan Royals,12,10,65,23.78,99.91,7,3,0,0,2,7.92,37.32
2008,AM Rahane,Chennai Super Kings,9,8,231,21.49,133.19,31,10,1,0,0,4.62,4.24
2009,AM Rahane,Delhi Capitals,8,7,139,18.66,122.32,15,9,2,0,0,5.31,5.07
2010,AM Rahane,Kolkata Knight Riders,6,6,251,25.35,118.6,17,6,3,0,0,5.39,6.0
2011,AM Rahane,Mumbai Indians,15,14,176,35.73,137.41,22,6,2,0,0,5.36,4.89
2012,AM Rahane,Rajasthan Royals,15,14,212,31.71,110.69,27,4,3,0,0,4.91,5.9
2013,AM Rahane,Rising Pune Supergiant,9,8,289,21.43,134.07,26,9,4,1,0,4.54,4.47
