season,player_name,role,base_price_lakhs,sold,sold_price_lakhs,team_name
2009,Swapnil Singh,All-rounder,20,Yes,60,Deccan Chargers
2009,O Thomas,Batter,100,Yes,630,Deccan Chargers
2009,SP Jackson,All-rounder,50,Yes,485,Delhi Capitals
2009,TM Srivastava,Bowler,200,Yes,1560,Deccan Chargers
2009,P Prasanth,Batter,50,Yes,55,Royal Challengers Bangalore
2009,Monu Kumar,Wicketkeeper,150,Yes,1035,Chennai Super Kings
2009,A Nortje,Bowler,30,No,,
2009,Ashok Sharma,Bowler,40,No,,
2009,JO Holder,Bowler,75,Yes,330,Delhi Capitals
2009,GF Linde,All-rounder,200,Yes,525,Kolkata Knight Riders
2009,MF Maharoof,Bowler,50,No,,
2009,T Banton,Wicketkeeper,75,Yes,490,Rajasthan Royals
2009,Joginder Sharma,Batter,75,Yes,230,Mumbai Indians
2009,SW Tait,Wicketkeeper,200,Yes,880,Royal Challengers Bangalore
2009,Rahmanullah Gurbaz,Wicketkeeper,100,Yes,325,Rajasthan Royals
2009,LR Shukla,Batter,50,Yes,130,Kolkata Knight Riders
2009,Naman Dhir,Bowler,150,Yes,645,Mumbai Indians
2009,RG Sharma,Batter,150,No,,
2009,R Ninan,Wicketkeeper,40,No,,
2009,KT Maphaka,Bowler,40,No,,
2009,MN van Wyk,Bowler,200,Yes,840,Chennai Super Kings
2009,Vivrant Sharma,Batter,40,No,,
2009,RE Levi,Bowler,40,Yes,310,Chennai Super Kings
2009,KL Nagarkoti,Batter,100,Yes,695,Rajasthan Royals
2009,Kartik Tyagi,All-rounder,150,Yes,1405,Punjab Kings
2009,TD Paine,Batter,200,Yes,530,Mumbai Indians
2009,N Burger,Bowler,75,Yes,305,Kolkata Knight Riders
2009,J Yadav,Wicketkeeper,30,Yes,175,Chennai Super Kings
2009,Harshit Rana,Bowler,20,Yes,30,Mumbai Indians
2009,Gurkeerat Singh,Batter,100,Yes,270,Punjab Kings
2009,BKG Mendis,Wicketkeeper,150,Yes,235,Royal Challengers Bangalore
2009,UT Khawaja,Batter,150,Yes,760,Kolkata Knight Riders
2009,DPMD Jayawardene,Batter,50,Yes,210,Deccan Chargers
2009,K Yadav,Wicketkeeper,20,No,,
2009,BJ Rohrer,Bowler,40,Yes,135,Chennai Super Kings
2009,VY Mahesh,All-rounder,75,Yes,410,Rajasthan Royals
2009,R Sai Kishore,Bowler,75,No,,
2009,YK Pathan,All-rounder,200,Yes,1300,Chennai Super Kings
2009,Suyash Sharma,Wicketkeeper,75,Yes,510,Delhi Capitals
2009,DJM Short,Bowler,150,Yes,1060,Delhi Capitals
2009,DP Vijaykumar,Bowler,20,No,,
2009,GB Hogg,Wicketkeeper,75,Yes,260,Kolkata Knight Riders
2009,VRV Singh,Batter,50,Yes,300,Delhi Capitals
2009,P Dharmani,Wicketkeeper,40,No,,
2010,AD Hales,Wicketkeeper,150,No,,
2010,K Kartikeya,All-rounder,150,Yes,700,Delhi Capitals
2010,Mohammad Asif,Wicketkeeper,200,No,,
2010,AB McDonald,Bowler,100,No,,
2010,RV Uthappa,Batter,100,Yes,295,Punjab Kings
2010,LI Meriwala,All-rounder,30,Yes,95,Deccan Chargers
2010,V Sooryavanshi,Wicketkeeper,20,No,,
2010,C Madan,All-rounder,50,No,,
2010,Anureet Singh,All-rounder,50,No,,
2010,JP Behrendorff,Batter,50,No,,
2010,KJ Abbott,Wicketkeeper,50,No,,
2010,W O'Rourke,Batter,20,No,,
2010,MJ Santner,All-rounder,40,Yes,345,Royal Challengers Bangalore
2010,DJ Harris,Bowler,30,Yes,105,Mumbai Indians
2010,DT Christian,Bowler,50,Yes,145,Punjab Kings
2010,C Munro,Wicketkeeper,40,Yes,250,Rajasthan Royals
2010,R Shepherd,All-rounder,200,No,,
2010,LJ Wright,Wicketkeeper,30,Yes,230,Deccan Chargers
2010,R Ninan,Wicketkeeper,20,Yes,155,Delhi Capitals
2010,PHKD Mendis,All-rounder,20,No,,
2010,JA Morkel,All-rounder,150,Yes,1435,Chennai Super Kings
2010,DA Miller,Batter,30,Yes,60,Chennai Super Kings
2010,IC Porel,Wicketkeeper,40,Yes,205,Delhi Capitals
2010,P Awana,Bowler,100,No,,
2010,YV Dhull,Wicketkeeper,75,Yes,300,Deccan Chargers
2010,W Jaffer,All-rounder,30,Yes,280,Kolkata Knight Riders
2010,KR Mayers,All-rounder,150,No,,
2010,BB Sran,Batter,150,Yes,480,Rajasthan Royals
2010,NM Coulter-Nile,Bowler,100,Yes,205,Delhi Capitals
2010,Abdul Basith,Batter,200,Yes,320,Chennai Super Kings
2010,CJ Anderson,Batter,150,Yes,540,Chennai Super Kings
2010,GR Napier,Batter,40,Yes,195,Mumbai Indians
2010,Shivam Sharma,Batter,100,Yes,710,Chennai Super Kings
2010,Umran Malik,All-rounder,150,No,,
2010,Shashank Singh,Batter,75,Yes,340,Punjab Kings
2010,MB Parmar,Batter,40,Yes,70,Deccan Chargers
2010,RJ Quiney,Bowler,100,No,,
2010,Y Gnaneswara Rao,Wicketkeeper,50,No,,
2010,YV Takawale,Wicketkeeper,20,Yes,60,Delhi Capitals
2010,MA Starc,Bowler,75,Yes,170,Punjab Kings
2010,A Mukund,Batter,40,Yes,245,Rajasthan Royals
2010,J Arunkumar,Wicketkeeper,20,Yes,50,Chennai Super Kings
2010,R Sanjay Yadav,Bowler,150,Yes,540,Deccan Chargers
2010,BR Sharath,Wicketkeeper,100,No,,
2010,N Jagadeesan,Batter,40,No,,
2010,LR Shukla,Batter,20,Yes,115,Chennai Super Kings
2010,Shahid Afridi,Wicketkeeper,200,Yes,500,Deccan Chargers
2010,V Pratap Singh,All-rounder,30,Yes,115,Punjab Kings
2010,Iqbal Abdulla,Bowler,200,Yes,755,Delhi Capitals
2010,Rasikh Salam,Wicketkeeper,20,Yes,150,Mumbai Indians
2010,M Muralidaran,Bowler,40,Yes,75,Delhi Capitals
2010,SM Katich,Wicketkeeper,200,Yes,730,Rajasthan Royals
2010,Lalit Yadav,Batter,50,Yes,350,Punjab Kings
2010,B Stanlake,Wicketkeeper,20,Yes,150,Rajasthan Royals
2010,Shivam Mavi,Bowler,100,Yes,595,Rajasthan Royals
2010,H Klaasen,Batter,150,Yes,170,Delhi Capitals
2010,NT Tilak Varma,Batter,100,No,,
2010,AA Bilakhia,Wicketkeeper,200,Yes,1380,Punjab Kings
2010,SC Ganguly,Batter,50,Yes,235,Rajasthan Royals
2010,RM Patidar,Batter,150,Yes,385,Delhi Capitals
2010,KK Ahmed,Bowler,40,Yes,70,Chennai Super Kings
2010,S Vidyut,Bowler,50,Yes,385,Punjab Kings
2010,GF Linde,All-rounder,40,Yes,145,Kolkata Knight Riders
2010,SPD Smith,Batter,40,No,,
2010,AR Patel,All-rounder,30,No,,
2010,SM Boland,Bowler,200,No,,
2010,NJ Rimmington,Wicketkeeper,200,No,,
2010,T Thushara,Batter,100,Yes,430,Royal Challengers Bangalore
2010,JR Philippe,Bowler,75,Yes,260,Delhi Capitals
2010,SR Tendulkar,Batter,30,Yes,40,Delhi Capitals
2010,MJ Clarke,All-rounder,100,Yes,915,Delhi Capitals
2010,BE Hendricks,Batter,30,Yes,145,Rajasthan Royals
2010,CH Morris,All-rounder,20,No,,
2010,AG Murtaza,All-rounder,50,Yes,295,Punjab Kings
2010,AC Thomas,Batter,20,Yes,145,Deccan Chargers
2010,Jalaj S Saxena,Batter,100,Yes,220,Chennai Super Kings
2010,P Sahu,All-rounder,50,No,,
2010,BCJ Cutting,Batter,40,Yes,120,Punjab Kings
2010,Azhar Mahmood,Wicketkeeper,150,Yes,205,Punjab Kings
2010,H Sharma,Bowler,100,Yes,490,Chennai Super Kings
2010,R Sathish,Batter,150,Yes,1045,Delhi Capitals
2010,C de Grandhomme,Batter,40,Yes,225,Punjab Kings
2010,M Theekshana,Bowler,100,No,,
2010,N Burger,Bowler,150,Yes,1135,Royal Challengers Bangalore
2010,LS Livingstone,Batter,75,Yes,245,Rajasthan Royals
2010,Sediqullah Atal,Batter,40,Yes,160,Chennai Super Kings
2010,R Shukla,All-rounder,100,Yes,295,Mumbai Indians
2010,MK Tiwary,Batter,50,No,,
2010,S Aravind,Bowler,200,Yes,395,Kolkata Knight Riders
2010,CV Varun,Bowler,30,No,,
2011,PP Chawla,All-rounder,50,No,,
2011,Yuvraj Singh,All-rounder,20,Yes,115,Rajasthan Royals
2011,R Shepherd,All-rounder,50,No,,
2011,VRV Singh,Batter,100,Yes,750,Kolkata Knight Riders
2011,R Dravid,Batter,100,Yes,300,Royal Challengers Bangalore
2011,AC Thomas,Batter,200,No,,
2011,SV Samson,Batter,200,Yes,1470,Deccan Chargers
2011,KP Appanna,Bowler,20,Yes,40,Delhi Capitals
2011,Yash Dayal,Bowler,150,No,,
2011,SB Styris,Bowler,50,Yes,135,Delhi Capitals
2011,C Madan,All-rounder,200,Yes,1905,Chennai Super Kings
2011,S Kaushik,Wicketkeeper,20,Yes,120,Kochi Tuskers Kerala
2011,M Kartik,Bowler,75,Yes,260,Rajasthan Royals
2011,CRD Fernando,All-rounder,150,Yes,310,Royal Challengers Bangalore
2011,D Wiese,Wicketkeeper,100,No,,
2011,DJ Muthuswami,Wicketkeeper,20,No,,
2011,T Henderson,All-rounder,20,No,,
2011,SD Lad,Wicketkeeper,75,Yes,110,Mumbai Indians
2011,DA Payne,Bowler,50,No,,
2011,UT Khawaja,Batter,100,Yes,480,Royal Challengers Bangalore
2011,Mashrafe Mortaza,All-rounder,40,No,,
2011,AD Russell,All-rounder,200,No,,
2011,MJ Guptill,All-rounder,30,Yes,95,Deccan Chargers
2011,LI Meriwala,All-rounder,50,Yes,205,Mumbai Indians
2011,Shivam Sharma,Batter,150,Yes,190,Kochi Tuskers Kerala
2011,UBT Chand,All-rounder,50,Yes,420,Delhi Capitals
2011,HF Gurney,Wicketkeeper,100,Yes,360,Delhi Capitals
2011,Mohammed Shami,Bowler,150,No,,
2011,SA Abbott,All-rounder,150,No,,
2011,JG Bethell,All-rounder,200,Yes,1710,Deccan Chargers
2011,WPUJC Vaas,Batter,75,Yes,115,Chennai Super Kings
2011,WA Mota,Wicketkeeper,40,Yes,70,Kochi Tuskers Kerala
2011,Mujeeb Ur Rahman,All-rounder,100,Yes,680,Delhi Capitals
2011,H Klaasen,Batter,150,Yes,520,Royal Challengers Bangalore
2011,R Rampaul,Bowler,20,Yes,80,Punjab Kings
2011,HH Gibbs,Bowler,20,Yes,75,Chennai Super Kings
2011,K Kartikeya,All-rounder,40,Yes,275,Mumbai Indians
2011,NS Naik,Batter,200,Yes,530,Mumbai Indians
2011,DR Martyn,Batter,100,Yes,495,Punjab Kings
2011,LPC Silva,All-rounder,40,No,,
2011,Shivang Kumar,Bowler,100,No,,
2011,RR Sarwan,Bowler,40,Yes,130,Kochi Tuskers Kerala
2011,Mohammad Asif,Wicketkeeper,75,No,,
2011,NB Singh,Batter,20,Yes,75,Royal Challengers Bangalore
2011,Younis Khan,All-rounder,30,No,,
2011,JE Root,Bowler,200,No,,
2011,M Ntini,All-rounder,75,Yes,190,Deccan Chargers
2011,PJ Cummins,All-rounder,30,Yes,235,Deccan Chargers
2011,R Goyal,Wicketkeeper,30,Yes,180,Punjab Kings
2011,MK Pandey,Batter,75,No,,
2011,D Salunkhe,Batter,40,Yes,75,Punjab Kings
2011,DS Rathi,Batter,50,Yes,225,Royal Challengers Bangalore
2011,S Sandeep Warrier,All-rounder,100,Yes,555,Kochi Tuskers Kerala
2011,CA Pujara,Bowler,40,No,,
2011,Harpreet Singh,Batter,30,Yes,180,Delhi Capitals
2011,AL Menaria,Wicketkeeper,200,Yes,775,Kochi Tuskers Kerala
2011,SN Khan,Wicketkeeper,30,No,,
2011,P Arya,Wicketkeeper,30,Yes,140,Deccan Chargers
2011,Lalit Yadav,Batter,40,Yes,90,Kochi Tuskers Kerala
2011,RJ Gleeson,Batter,40,Yes,285,Rajasthan Royals
2011,B Kumar,Bowler,30,Yes,65,Kochi Tuskers Kerala
2011,TM Srivastava,Bowler,100,Yes,760,Kolkata Knight Riders
2011,PW Hasaranga,Bowler,75,Yes,410,Chennai Super Kings
2011,BW Hilfenhaus,Wicketkeeper,75,Yes,400,Royal Challengers Bangalore
2011,Aman Hakim Khan,Bowler,30,Yes,155,Kochi Tuskers Kerala
2011,YS Chahal,Bowler,40,Yes,240,Royal Challengers Bangalore
2011,D Pretorius,Batter,100,Yes,705,Pune Warriors
2011,JA Morkel,All-rounder,30,No,,
2011,Mukesh Choudhary,All-rounder,75,No,,
2011,PV Tambe,Wicketkeeper,150,Yes,675,Pune Warriors
2011,CK Kapugedera,Bowler,75,Yes,495,Delhi Capitals
2011,Mandeep Singh,Batter,150,Yes,875,Delhi Capitals
2011,Arshad Khan,Batter,40,Yes,170,Deccan Chargers
2012,S Sreesanth,Bowler,30,No,,
2012,CJ Green,Bowler,150,No,,
2012,K Rabada,Bowler,100,No,,
2012,UA Birla,All-rounder,40,Yes,200,Kolkata Knight Riders
2012,KA Pollard,All-rounder,20,Yes,155,Mumbai Indians
2012,V Vyshak,Batter,200,Yes,1050,Pune Warriors
2012,KV Sharma,Bowler,40,No,,
2012,MC Juneja,Bowler,100,Yes,530,Royal Challengers Bangalore
2012,C Green,Batter,75,Yes,345,Punjab Kings
2012,YA Abdulla,All-rounder,200,Yes,290,Delhi Capitals
2012,LS Livingstone,Batter,100,No,,
2012,PVSN Raju,Bowler,75,Yes,215,Mumbai Indians
2012,RN ten Doeschate,Wicketkeeper,50,Yes,110,Mumbai Indians
2012,B Muzarabani,Wicketkeeper,150,No,,
2012,HR Shokeen,Wicketkeeper,50,Yes,295,Mumbai Indians
2012,NL McCullum,Batter,50,Yes,195,Mumbai Indians
2012,BR Dunk,Wicketkeeper,150,Yes,965,Kolkata Knight Riders
2012,J Overton,Wicketkeeper,200,Yes,925,Mumbai Indians
2012,Mukesh Choudhary,All-rounder,100,Yes,415,Deccan Chargers
2012,Harmeet Singh,Batter,40,No,,
2012,CJ Anderson,Batter,100,Yes,640,Pune Warriors
2012,Azhar Mahmood,Wicketkeeper,75,Yes,205,Deccan Chargers
2012,AJ Tye,Bowler,75,No,,
2012,JL Pattinson,Bowler,75,Yes,435,Delhi Capitals
2012,M Prasidh Krishna,Bowler,200,Yes,985,Punjab Kings
2012,SB Jakati,Bowler,75,Yes,430,Delhi Capitals
2012,MK Pandey,Batter,150,No,,
2012,Harmeet Singh,Batter,40,Yes,305,Delhi Capitals
2012,D Padikkal,Batter,30,No,,
2012,KK Ahmed,Bowler,75,Yes,510,Deccan Chargers
2012,RV Patel,Batter,75,Yes,145,Pune Warriors
2012,UT Khawaja,Batter,50,Yes,365,Kolkata Knight Riders
2012,DP Conway,Batter,50,Yes,195,Kolkata Knight Riders
2012,YS Chahal,Bowler,200,Yes,390,Chennai Super Kings
2012,PD Collingwood,Batter,40,Yes,285,Rajasthan Royals
2012,NLTC Perera,Bowler,200,Yes,1260,Deccan Chargers
2012,K Gowtham,Wicketkeeper,75,Yes,105,Punjab Kings
2012,PC Valthaty,All-rounder,30,Yes,235,Kolkata Knight Riders
2012,A Uniyal,Bowler,20,Yes,135,Royal Challengers Bangalore
2012,Anureet Singh,All-rounder,20,No,,
2012,MA Agarwal,Batter,40,No,,
2012,PM Sarvesh Kumar,All-rounder,20,Yes,45,Delhi Capitals
2012,N Saini,Bowler,100,Yes,550,Delhi Capitals
2012,HM Amla,All-rounder,200,No,,
2012,G Gambhir,Batter,200,Yes,360,Delhi Capitals
2012,Rashid Khan,All-rounder,40,Yes,315,Deccan Chargers
2012,Kuldeep Yadav,Bowler,20,No,,
2012,AJ Hosein,Wicketkeeper,50,Yes,275,Royal Challengers Bangalore
2012,JE Root,Bowler,150,Yes,240,Rajasthan Royals
2012,PA Patel,Batter,30,No,,
2012,S Kaushik,Wicketkeeper,200,No,,
2012,SS Mundhe,Bowler,20,Yes,85,Delhi Capitals
2012,Shahid Afridi,Wicketkeeper,75,Yes,455,Punjab Kings
2012,NT Ellis,All-rounder,20,Yes,150,Delhi Capitals
2012,JH Kallis,All-rounder,20,Yes,55,Chennai Super Kings
2012,R Sanjay Yadav,Bowler,75,Yes,570,Chennai Super Kings
2012,A Kumble,Bowler,100,Yes,195,Kolkata Knight Riders
2012,B Stanlake,Wicketkeeper,40,Yes,210,Deccan Chargers
2012,MS Bisla,Bowler,150,No,,
2012,C Sakariya,Wicketkeeper,50,Yes,260,Kolkata Knight Riders
2012,J Arunkumar,Wicketkeeper,30,Yes,180,Pune Warriors
2012,V Nigam,Batter,30,Yes,145,Chennai Super Kings
2012,LJ Wright,Wicketkeeper,50,Yes,165,Pune Warriors
2012,YV Dhull,Wicketkeeper,200,Yes,1205,Chennai Super Kings
2012,MDKJ Perera,Wicketkeeper,200,No,,
2012,AG Murtaza,All-rounder,200,Yes,1195,Mumbai Indians
2012,MD Mishra,All-rounder,200,Yes,1485,Mumbai Indians
2012,AK Markram,Batter,75,Yes,505,Mumbai Indians
2012,RR Rossouw,Bowler,50,Yes,170,Chennai Super Kings
2012,DR Sams,Batter,30,No,,
2012,LG Pretorius,Bowler,30,Yes,115,Deccan Chargers
2012,RG Sharma,Batter,40,Yes,290,Rajasthan Royals
2012,JJ van der Wath,Batter,200,Yes,1155,Rajasthan Royals
2012,AU Verma,Bowler,40,Yes,320,Punjab Kings
2012,M Shahrukh Khan,All-rounder,150,Yes,1530,Pune Warriors
2012,PK Garg,Wicketkeeper,20,No,,
2012,Mukesh Kumar,Bowler,200,Yes,730,Pune Warriors
2012,RE Levi,Bowler,50,Yes,105,Kolkata Knight Riders
2012,JDP Oram,Bowler,50,Yes,280,Chennai Super Kings
2012,SD Hope,Batter,20,Yes,35,Kolkata Knight Riders
2013,Mohsin Khan,Bowler,100,No,,
2013,S Ladda,Wicketkeeper,100,Yes,680,Chennai Super Kings
2013,Shahid Afridi,Wicketkeeper,20,Yes,105,Delhi Capitals
2013,TG Southee,Bowler,20,Yes,125,Chennai Super Kings
2013,AJ Hosein,Wicketkeeper,50,Yes,365,Sunrisers Hyderabad
2013,Harbhajan Singh,All-rounder,75,Yes,225,Mumbai Indians
2013,VS Yeligati,Batter,30,No,,
2013,AF Milne,All-rounder,50,No,,
2013,MD Shanaka,Bowler,100,Yes,475,Delhi Capitals
2013,Misbah-ul-Haq,Bowler,100,Yes,460,Delhi Capitals
2013,H Klaasen,Batter,200,Yes,1575,Sunrisers Hyderabad
2013,R Shepherd,All-rounder,200,No,,
2013,GC Smith,Bowler,100,Yes,495,Punjab Kings
2013,X Thalaivan Sargunam,Wicketkeeper,50,Yes,245,Royal Challengers Bangalore
2013,AM Salvi,All-rounder,150,Yes,645,Delhi Capitals
2013,CH Morris,All-rounder,150,Yes,1090,Kolkata Knight Riders
2013,PJ Sangwan,Bowler,100,No,,
2013,JL Denly,Wicketkeeper,200,Yes,1225,Sunrisers Hyderabad
2013,V Sooryavanshi,Wicketkeeper,100,Yes,485,Royal Challengers Bangalore
2013,RT Ponting,Bowler,40,No,,
2013,KA Pollard,All-rounder,20,Yes,180,Pune Warriors
2013,RV Patel,Batter,20,Yes,140,Mumbai Indians
2013,Zeeshan Ansari,Batter,50,Yes,55,Chennai Super Kings
2013,KB Arun Karthik,All-rounder,200,Yes,1420,Punjab Kings
2013,HE van der Dussen,Bowler,200,Yes,945,Sunrisers Hyderabad
2013,JR Philippe,Bowler,150,Yes,910,Mumbai Indians
2013,CJ Ferguson,Bowler,75,Yes,440,Mumbai Indians
2013,STR Binny,All-rounder,150,Yes,325,Royal Challengers Bangalore
2013,Prince Yadav,All-rounder,40,Yes,245,Kolkata Knight Riders
2013,GF Linde,All-rounder,100,No,,
2013,MJ McClenaghan,Bowler,30,No,,
2013,JR Hazlewood,Bowler,200,No,,
2013,JB Little,Wicketkeeper,50,Yes,345,Delhi Capitals
2013,AP Tare,All-rounder,20,Yes,95,Chennai Super Kings
2013,RJ Quiney,Bowler,200,Yes,1185,Mumbai Indians
2013,S Chanderpaul,Wicketkeeper,30,No,,
2013,VG Arora,Bowler,100,No,,
2013,DJ Harris,Bowler,20,Yes,140,Kolkata Knight Riders
2013,SE Marsh,Batter,200,Yes,305,Delhi Capitals
2013,Shoaib Ahmed,Wicketkeeper,75,Yes,90,Pune Warriors
2013,MP Stoinis,All-rounder,100,No,,
2013,RJ Peterson,Batter,40,No,,
2013,PA Reddy,Batter,75,Yes,375,Royal Challengers Bangalore
2013,AJ Finch,Batter,150,Yes,945,Pune Warriors
2013,KT Maphaka,Bowler,40,Yes,315,Chennai Super Kings
2013,SO Hetmyer,Batter,20,Yes,135,Chennai Super Kings
2013,Shahbaz Ahmed,All-rounder,100,No,,
2013,M Muralidaran,Bowler,100,Yes,650,Mumbai Indians
2013,R Bishnoi,All-rounder,200,Yes,1265,Sunrisers Hyderabad
2013,T Natarajan,Bowler,150,Yes,765,Rajasthan Royals
2013,MJ Suthar,Wicketkeeper,150,No,,
2013,MJ Clarke,All-rounder,75,Yes,155,Kolkata Knight Riders
2013,CL White,All-rounder,40,Yes,285,Rajasthan Royals
2013,M Kartik,Bowler,150,Yes,245,Punjab Kings
2013,DJG Sammy,Bowler,75,Yes,215,Sunrisers Hyderabad
2013,R Sathish,Batter,40,Yes,165,Chennai Super Kings
2013,Naman Dhir,Bowler,150,Yes,520,Chennai Super Kings
2013,HM Amla,All-rounder,30,No,,
2013,GJ Maxwell,All-rounder,20,Yes,170,Delhi Capitals
2013,TL Seifert,Batter,50,Yes,185,Pune Warriors
2013,CJ Green,Bowler,40,Yes,180,Delhi Capitals
2013,NJ Maddinson,All-rounder,30,Yes,155,Royal Challengers Bangalore
2013,AN Ghosh,Batter,200,Yes,1520,Chennai Super Kings
2013,RN ten Doeschate,Wicketkeeper,200,Yes,390,Kolkata Knight Riders
2013,MJ Lumb,Bowler,20,Yes,105,Rajasthan Royals
2013,R Minz,Wicketkeeper,100,Yes,670,Sunrisers Hyderabad
2013,C Sakariya,Wicketkeeper,40,Yes,305,Delhi Capitals
2013,M Theekshana,Bowler,50,Yes,390,Sunrisers Hyderabad
2013,HS Dubey,Bowler,100,Yes,545,Delhi Capitals
2013,I Udana,Bowler,50,Yes,335,Punjab Kings
2013,E Lewis,All-rounder,150,Yes,965,Punjab Kings
2014,RA Shaikh,Bowler,30,No,,
2014,DJ Mitchell,All-rounder,40,Yes,220,Punjab Kings
2014,Shubman Gill,Batter,50,Yes,85,Sunrisers Hyderabad
2014,Yashpal Singh,All-rounder,200,Yes,340,Punjab Kings
2014,RE Levi,Bowler,30,No,,
2014,AA Jhunjhunwala,Batter,30,No,,
2014,V Nigam,Batter,50,Yes,165,Royal Challengers Bangalore
2014,NB Singh,Batter,150,Yes,575,Sunrisers Hyderabad
2014,TL Suman,Bowler,40,Yes,160,Royal Challengers Bangalore
2014,FA Allen,Wicketkeeper,20,Yes,80,Kolkata Knight Riders
2014,Mashrafe Mortaza,All-rounder,20,Yes,165,Kolkata Knight Riders
2014,JM Bairstow,Batter,30,No,,
2014,T Henderson,All-rounder,40,Yes,220,Punjab Kings
2014,AS Tendulkar,All-rounder,75,Yes,535,Sunrisers Hyderabad
2014,MJ Clarke,All-rounder,150,Yes,670,Rajasthan Royals
2014,Shakib Al Hasan,All-rounder,200,No,,
2014,PD Salt,Batter,75,Yes,240,Chennai Super Kings
2014,CH Gayle,Batter,50,Yes,180,Delhi Capitals
2014,SK Warne,Bowler,40,Yes,80,Rajasthan Royals
2014,JW Hastings,Wicketkeeper,150,Yes,815,Rajasthan Royals
2014,HR Shokeen,Wicketkeeper,40,Yes,80,Royal Challengers Bangalore
2014,Himmat Singh,Batter,100,Yes,705,Sunrisers Hyderabad
2014,SSB Magala,Wicketkeeper,20,Yes,135,Sunrisers Hyderabad
2014,CRD Fernando,All-rounder,200,Yes,1015,Rajasthan Royals
2014,TU Deshpande,Bowler,200,Yes,990,Sunrisers Hyderabad
2014,MM Sharma,Bowler,50,Yes,130,Delhi Capitals
2014,M Klinger,Batter,75,No,,
2014,AU Verma,Bowler,200,Yes,575,Chennai Super Kings
2014,Mujeeb Ur Rahman,All-rounder,100,No,,
2014,S Ladda,Wicketkeeper,200,No,,
2014,OF Smith,All-rounder,30,Yes,310,Kolkata Knight Riders
2014,Ramandeep Singh,Bowler,200,Yes,1345,Delhi Capitals
2014,MD Mishra,All-rounder,200,No,,
2014,R Ravindra,Wicketkeeper,50,No,,
2014,PN Mankad,Wicketkeeper,100,Yes,195,Rajasthan Royals
2014,T Banton,Wicketkeeper,50,No,,
2014,MK Pandey,Batter,100,Yes,220,Delhi Capitals
2014,RA Bawa,Batter,75,Yes,575,Delhi Capitals
2014,AC Gilchrist,Batter,30,No,,
2014,LA Pomersbach,All-rounder,150,No,,
2014,TA Boult,Bowler,40,Yes,240,Royal Challengers Bangalore
2014,R Sanjay Yadav,Bowler,50,Yes,250,Rajasthan Royals
2014,S Gopal,Bowler,75,Yes,115,Rajasthan Royals
2014,SM Katich,Wicketkeeper,30,Yes,90,Rajasthan Royals
2014,Anirudh Singh,Batter,100,No,,
2014,B Sumanth,All-rounder,100,No,,
2014,Harmeet Singh,Batter,30,Yes,175,Sunrisers Hyderabad
2014,SS Tiwary,Batter,30,Yes,120,Rajasthan Royals
2014,SZ Mulani,All-rounder,50,Yes,440,Sunrisers Hyderabad
2014,L Balaji,Bowler,100,Yes,440,Royal Challengers Bangalore
2014,DA Warner,Batter,100,Yes,540,Mumbai Indians
2014,SP Narine,All-rounder,200,Yes,1820,Mumbai Indians
2014,SA Yadav,Batter,200,Yes,1540,Sunrisers Hyderabad
2014,AF Milne,All-rounder,50,No,,
