season,team_name,matches_played,wins,losses,no_result,points,nrr,qualified,champion
2017,Punjab Kings,14,7,7,0,14,-0.154,0,0
2017,Gujarat Lions,14,4,9,1,9,-1.005,0,0
2017,Sunrisers Hyderabad,14,8,6,0,16,1.277,0,0
2018,Mumbai Indians,14,6,8,0,12,-0.225,1,0
2018,Chennai Super Kings,16,11,5,0,22,-0.973,1,1
2018,Royal Challengers Bangalore,14,6,8,0,12,0.043,1,0
2018,Kolkata Knight Riders,16,9,7,0,18,0.378,1,0
2018,Delhi Capitals,14,5,9,0,10,-0.913,0,0
2018,Punjab Kings,14,6,8,0,12,0.689,0,0
2018,Rajasthan Royals,15,7,8,0,14,-1.466,0,0
2018,Sunrisers Hyderabad,17,10,7,0,20,-0.992,0,0
2019,Mumbai Indians,16,10,5,1,21,-0.109,1,1
2019,Chennai Super Kings,17,10,7,0,20,0.866,1,0
2019,Royal Challengers Bangalore,14,5,8,1,11,-0.206,1,0
2019,Kolkata Knight Riders,14,6,7,1,13,-1.487,1,0
2019,Delhi Capitals,16,9,6,1,19,0.817,0,0
2019,Punjab Kings,14,6,8,0,12,0.126,0,0
2019,Rajasthan Royals,14,5,8,1,11,0.889,0,0
2019,Sunrisers Hyderabad,15,6,8,1,13,-1.149,0,0
2020/21,Mumbai Indians,16,11,3,2,24,-0.25,1,1
2020/21,Chennai Super Kings,14,6,8,0,12,1.4,1,0
2020/21,Royal Challengers Bangalore,15,6,8,1,13,-1.17,1,0
2020/21,Kolkata Knight Riders,14,6,7,1,13,0.002,1,0
2020/21,Delhi Capitals,17,8,8,1,17,0.905,0,0
2020/21,Punjab Kings,14,5,7,2,12,-0.222,0,0
2020/21,Rajasthan Royals,14,6,8,0,12,-1.094,0,0
2020/21,Sunrisers Hyderabad,16,8,7,1,17,-0.221,0,0
2021,Mumbai Indians,14,7,7,0,14,0.968,1,0
2021,Chennai Super Kings,16,11,5,0,22,1.269,1,1
2021,Royal Challengers Bangalore,15,9,6,0,18,0.245,1,0
2021,Kolkata Knight Riders,17,9,8,0,18,1.455,1,0
2021,Delhi Capitals,16,9,6,1,19,-1.359,0,0
2021,Punjab Kings,14,6,8,0,12,0.372,0,0
2021,Rajasthan Royals,14,5,9,0,10,1.373,0,0
2021,Sunrisers Hyderabad,14,3,10,1,7,0.13,0,0
2022,Mumbai Indians,14,4,10,0,8,-0.684,1,0
2022,Chennai Super Kings,14,4,10,0,8,1.075,1,0
2022,Royal Challengers Bangalore,16,9,7,0,18,-0.486,1,0
2022,Kolkata Knight Riders,14,6,8,0,12,-0.524,1,0
2022,Delhi Capitals,14,7,7,0,14,-0.584,0,0
2022,Punjab Kings,14,7,7,0,14,1.474,0,0
2022,Rajasthan Royals,17,10,7,0,20,-1.177,0,0
2022,Sunrisers Hyderabad,14,6,8,0,12,-1.023,0,0
2022,Gujarat Titans,16,12,4,0,24,0.042,1,1
2022,Lucknow Super Giants,15,9,6,0,18,-0.509,0,0
2023,Mumbai Indians,16,9,7,0,18,0.237,1,0
2023,Chennai Super Kings,16,10,5,1,21,0.641,1,1
2023,Royal Challengers Bangalore,14,7,7,0,14,0.325,1,0
2023,Kolkata Knight Riders,14,6,8,0,12,0.309,1,0
2023,Delhi Capitals,14,5,9,0,10,1.378,0,0
2023,Punjab Kings,14,6,8,0,12,-0.787,0,0
2023,Rajasthan Royals,14,7,7,0,14,0.466,0,0
2023,Sunrisers Hyderabad,14,4,10,0,8,0.226,0,0
2023,Gujarat Titans,17,11,6,0,22,-1.013,0,0
2023,Lucknow Super Giants,15,8,6,1,17,-0.685,0,0
2024,Mumbai Indians,14,4,10,0,8,1.103,1,0
2024,Chennai Super Kings,14,7,7,0,14,-0.733,1,0
2024,Royal Challengers Bangalore,15,7,8,0,14,0.696,1,0
2024,Kolkata Knight Riders,14,11,3,0,22,1.48,1,1
2024,Delhi Capitals,14,7,7,0,14,0.385,0,0
2024,Punjab Kings,14,5,9,0,10,-1.114,0,0
2024,Rajasthan Royals,15,9,6,0,18,0.722,0,0
2024,Sunrisers Hyderabad,16,9,7,0,18,1.148,0,0
2024,Gujarat Titans,12,5,7,0,10,-0.71,0,0
2024,Lucknow Super Giants,14,7,7,0,14,1.328,0,0
2025,Mumbai Indians,16,9,7,0,18,-0.484,1,0
2025,Chennai Super Kings,14,4,10,0,8,-0.441,1,0
2025,Royal Challengers Bangalore,15,11,4,0,22,-1.3,1,1
2025,Kolkata Knight Riders,13,5,7,1,11,-0.589,1,0
2025,Delhi Capitals,15,6,6,3,15,-0.378,0,0
2025,Punjab Kings,18,10,6,2,22,0.95,0,0
2025,Rajasthan Royals,14,4,9,1,9,-0.128,0,0
2025,Sunrisers Hyderabad,14,6,7,1,13,0.433,0,0
2025,Gujarat Titans,15,9,6,0,18,0.281,0,0
2025,Lucknow Super Giants,14,6,8,0,12,-0.668,0,0
2026,Mumbai Indians,8,2,6,0,4,-1.372,1,1
2026,Chennai Super Kings,8,3,5,0,6,1.475,1,0
2026,Royal Challengers Bangalore,9,6,3,0,12,0.322,1,0
2026,Kolkata Knight Riders,8,1,5,2,4,-0.98,1,0
2026,Delhi Capitals,9,4,5,0,8,1.41,0,0
2026,Punjab Kings,8,6,1,1,13,1.036,0,0
2026,Rajasthan Royals,10,6,4,0,12,1.043,0,0
2026,Sunrisers Hyderabad,9,6,3,0,12,-0.832,0,0
2026,Gujarat Titans,9,5,4,0,10,-0.141,0,0
2026,Lucknow Super Giants,8,2,5,1,5,-1.267,0,0
